gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.154,0.0,0.756,0.897,0.447096965,930529,0.4483915268448291
0.0,0.052,0.611,0.832,0.985905856,2040195,0.9831033219933888
0.175,0.273,0.6,0.998,0.413262634,846803,0.40804670258184517
0.0,0.176,0.774,0.661,0.984177397,2038620,0.9823443809450382
0.308,0.31,0.381,0.526,0.030262247,73569,0.03545049776895425
0.125,0.189,0.584,0.648,0.51296296,1059127,0.5103587020421537
0.196,0.369,0.342,0.513,0.220469349,480741,0.23165338319054
0.0,0.079,0.619,0.815,0.986043188,2040146,0.9830797104941068
0.211,0.019,0.329,0.863,0.175115492,363792,0.1752994805470158
0.054,0.346,0.494,0.491,0.696834949,1430388,0.6892572496940143
0.0,0.188,0.745,0.648,0.98280311,2034540,0.9803783622293111
0.165,0.239,0.556,0.597,0.409645736,857079,0.4129983712884169
0.151,0.401,0.575,0.435,0.085973847,216498,0.10432331370527066
0.0,0.122,0.766,0.844,0.987340375,2045172,0.9855015757061766
0.356,0.0,0.502,0.938,0.039634089,83854,0.040406503281516536
0.0,0.244,0.576,0.643,0.9797765,2027646,0.9770563688405308
0.0,0.376,0.642,0.461,0.497539343,1030599,0.4966119907866966
0.0,0.038,0.723,0.857,0.987157266,2044017,0.9849450189373862
0.0,0.005,0.721,0.9,0.987162084,2043956,0.9849156250301168
0.293,0.305,0.431,0.532,0.055693289,134761,0.06493692356620376
0.272,0.384,0.468,0.595,0.097520358,212934,0.1026059385330031
0.042,0.366,0.531,0.606,0.96940912,1987055,0.9574968919557068
0.147,0.393,1.0,0.604,0.446663766,938059,0.45201998785694325
0.115,0.37,0.809,0.551,0.544189906,1171021,0.5642767653209718
0.0,0.0,0.652,0.904,0.999111918,2065448,0.9952719177356091
0.0,0.372,0.766,0.589,0.966595013,2002848,0.9651070227345008
0.0,0.344,0.696,0.614,0.976005886,2019556,0.9731580621223365
0.0,0.232,0.651,0.647,0.982005138,2031340,0.9788363867659956
0.0,0.401,0.75,0.501,0.747084099,1551011,0.7473815329163574
0.36,0.188,0.362,0.71,0.000943497,2335,0.001125160220887985
0.04,0.0,0.658,0.883,0.986672025,2041908,0.9839287607335948
0.0,0.043,0.604,0.832,0.985714554,2039980,0.9829997205169473
0.0,0.032,0.495,0.804,0.97893275,2031174,0.9787563967888361
0.214,0.299,0.667,0.613,0.21530662,450493,0.2170778601235508
0.0,0.302,0.764,0.599,0.971239734,2011651,0.9693489008606151
0.06,0.009,0.619,0.827,0.986063908,2016905,0.9718806318244461
0.039,0.394,0.689,0.443,0.294710202,603276,0.29069899675221417
0.132,0.0,0.604,0.889,0.492333246,1024931,0.49388076674729914
0.369,0.264,0.505,0.573,0.029258999,69615,0.03354519433709511
0.0,0.036,0.563,0.944,0.984109453,2039094,0.9825727860605418
0.041,0.342,0.708,0.567,0.948028174,1941470,0.9355309696134461
0.0,0.125,0.626,0.77,0.986017649,2039581,0.9828074554513652
0.402,0.132,0.461,0.781,0.013510121,31144,0.015007276196717519
0.09,0.364,0.889,0.641,0.976407282,2002779,0.965073773888573
0.109,0.3,0.624,0.583,0.688861005,1425356,0.6868324932779507
